시험명,문제번호,이미지경로,영상링크
은행고24-1 확률중간,1,problem_images\은행고24-1 확률중간_1.jpg,https://youtu.be/r904f6zdzWc?t=3979
은행고24-1 확률중간,2,problem_images\은행고24-1 확률중간_2.jpg,https://youtu.be/r904f6zdzWc?t=391
은행고24-1 확률중간,3,problem_images\은행고24-1 확률중간_3.jpg,https://youtu.be/r904f6zdzWc?t=3222
은행고24-1 확률중간,4,problem_images\은행고24-1 확률중간_4.jpg,https://youtu.be/r904f6zdzWc?t=311
은행고24-1 확률중간,5,problem_images\은행고24-1 확률중간_5.jpg,https://youtu.be/r904f6zdzWc?t=1111
