시험명,문제번호,이미지경로,영상링크
은행고24-1 확률중간,1,problem_images\은행고24-1_확률중간_Q1.jpg,https://www.youtube.com/watch?v=r904f6zdzWc
은행고24-1 확률중간,2,problem_images\은행고24-1_확률중간_Q2.jpg,https://www.youtube.com/watch?v=coSQ_uEaTTA
